Department;Region;District;Kostenstelle;;
Abteilung Sachsen-Anhalt, Thüringen, Sachsen (ST/TH/SN);Erfurt / Jena;Saalfeld;20110;;
Abteilung Sachsen-Anhalt, Thüringen, Sachsen (ST/TH/SN);Erfurt / Jena;Suhl;20113;;
Abteilung Sachsen-Anhalt, Thüringen, Sachsen (ST/TH/SN);Erfurt / Jena;Weimar;20108;;
Abteilung Sachsen-Anhalt, Thüringen, Sachsen (ST/TH/SN);Leipzig / Chemnitz;Döbeln;10507;;
Abteilung Sachsen-Anhalt, Thüringen, Sachsen (ST/TH/SN);Leipzig / Chemnitz;Leipzig Mitte;10551;;
Abteilung Sachsen-Anhalt, Thüringen, Sachsen (ST/TH/SN);Leipzig / Chemnitz;Leipzig Nord;10501;;
Abteilung Sachsen-Anhalt, Thüringen, Sachsen (ST/TH/SN);Leipzig / Chemnitz;Limbach-Oberfrohna;10503;;
Abteilung Sachsen-Anhalt, Thüringen, Sachsen (ST/TH/SN);Leipzig / Chemnitz;Riesa;10605;;
Abteilung Sachsen-Anhalt, Thüringen, Sachsen (ST/TH/SN);Leipzig / Chemnitz;Torgau;10509;;
Abteilung Sachsen-Anhalt, Thüringen, Sachsen (ST/TH/SN);Leipzig / Chemnitz;Aue;10510;;
Abteilung Sachsen-Anhalt, Thüringen, Sachsen (ST/TH/SN);Leipzig / Chemnitz;Chemnitz;10513;;
Abteilung Sachsen-Anhalt, Thüringen, Sachsen (ST/TH/SN);Leipzig / Chemnitz;Freiberg;10506;;
Abteilung Sachsen-Anhalt, Thüringen, Sachsen (ST/TH/SN);Leipzig / Chemnitz;Plauen;10511;;
Abteilung Sachsen-Anhalt, Thüringen, Sachsen (ST/TH/SN);Leipzig / Chemnitz;Zwickau;10512;;
Abteilung Sachsen-Anhalt, Thüringen, Sachsen (ST/TH/SN);Dresden;Bautzen;10607;;
Abteilung Sachsen-Anhalt, Thüringen, Sachsen (ST/TH/SN);Dresden;Dresden Altstadt;10601;;
Abteilung Sachsen-Anhalt, Thüringen, Sachsen (ST/TH/SN);Dresden;Dresden Neustadt;10602;;
Abteilung Sachsen-Anhalt, Thüringen, Sachsen (ST/TH/SN);Dresden;Görlitz;10609;;
Abteilung Sachsen-Anhalt, Thüringen, Sachsen (ST/TH/SN);Dresden;Meißen;10604;;
